,Time,Number_of_Casualties,Day_of_Week,Road_Type,Speed_limit,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,Junction_Detail,Number_of_Vehicles,Accident_Severity,Road_Surface_Condition
22,Mañana,2,Día laboral,Autovia,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
23,Tarde,2,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,T,1,Leve,Seca
24,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Leve,Seca
25,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
26,Noche,1,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
27,Tarde,2,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Serio,Seca
28,Noche,1,Día laboral,Calzada,30.0,Diurna,Lluvioso,2,Urbano,Si,Encrucijada,1,Leve,Húmeda
29,Noche,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,Encrucijada,1,Leve,Seca
30,Tarde,1,Día laboral,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Urbano,Si,+4salidas,1,Serio,Seca
31,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",2,Urbano,Si,T,1,Leve,Húmeda
32,Tarde,1,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Leve,Seca
33,Mañana,1,Día laboral,Rotonda,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,Rotonda,1,Leve,Seca
34,Noche,2,Fin de semana,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Urbano,No,T,1,Leve,Seca
35,Noche,1,Fin de semana,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
36,Madrugada,1,Día laboral,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
37,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
38,Noche,2,Fin de semana,Calzada,30.0,Diurna,Lluvioso,2,Urbano,Si,T,1,Serio,Húmeda
39,Tarde,1,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
40,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Leve,Seca
41,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Leve,Seca
42,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,No_hay_cruce,1,Serio,Seca
43,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Leve,Seca
44,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
45,Mañana,1,Día laboral,Autovia,50.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,No_hay_cruce,1,Leve,Seca
46,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
47,Noche,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,Encrucijada,1,Serio,Seca
48,Noche,1,Fin de semana,Calzada,30.0,Oscuridad_Luces_Encendidas,Lluvioso,2,Rural,Si,No_hay_cruce,1,Fatal,Húmeda
49,Tarde,2,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,2,Fatal,Seca
50,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,No_hay_cruce,1,Serio,Seca
51,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
52,Noche,2,Día laboral,Autovia,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Serio,Seca
53,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
54,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos fuertes",1,Urbano,No,No_hay_cruce,1,Leve,Seca
55,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,T,1,Leve,Seca
56,Mañana,1,Día laboral,Calzada,60.0,Diurna,"Bien, con vientos suaves",2,Rural,Si,No_hay_cruce,1,Serio,Húmeda
57,Noche,1,Día laboral,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
58,Noche,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Leve,Seca
59,Tarde,1,Día laboral,Calzada,60.0,Diurna,"Bien, con vientos suaves",1,Rural,No,No_hay_cruce,1,Leve,Seca
60,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Fatal,Seca
61,Tarde,1,Día laboral,Calzada,60.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Serio,Seca
62,Mañana,1,Día laboral,Calzada,40.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,+4salidas,1,Serio,Seca
63,Mañana,1,Día laboral,Calzada,30.0,Diurna,Lluvioso,2,Urbano,Si,T,1,Leve,Húmeda
64,Tarde,2,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Leve,Seca
65,Mañana,1,Día laboral,Calzada,30.0,Diurna,Lluvioso,2,Urbano,Si,T,1,Serio,Húmeda
66,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,No_hay_cruce,1,Leve,Seca
67,Tarde,1,Día laboral,Autovia,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,No_hay_cruce,1,Serio,Seca
68,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,T,1,Leve,Seca
69,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,Otros,1,Leve,Seca
70,Tarde,1,Día laboral,1SoloSentido,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Leve,Seca
71,Noche,1,Día laboral,Calzada,60.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Serio,Seca
72,Tarde,1,Día laboral,Calzada,60.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Leve,Seca
73,Mañana,1,Día laboral,Calzada,60.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Leve,Seca
74,Noche,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Serio,Seca
75,Noche,1,Día laboral,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",2,Urbano,Si,Otros,1,Serio,Húmeda
76,Mañana,1,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
77,Noche,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Serio,Seca
78,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",2,Urbano,Si,T,1,Leve,Húmeda
79,Noche,1,Día laboral,Calzada,60.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Serio,Seca
80,Tarde,1,Día laboral,Calzada,60.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Serio,Seca
81,Noche,1,Fin de semana,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
82,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Serio,Seca
83,Noche,1,Fin de semana,Calzada,50.0,Oscuridad_Luces_Encendidas,Lluvioso,2,Urbano,Si,T,1,Leve,Húmeda
84,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,T,1,Leve,Seca
85,Noche,1,Día laboral,Rotonda,50.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Rural,Si,Rotonda,1,Leve,Seca
86,Tarde,1,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",2,Rural,Si,T,1,Serio,Húmeda
87,Madrugada,1,Día laboral,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
88,Tarde,1,Fin de semana,Autovia,70.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Fatal,Seca
89,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",2,Urbano,No,T,1,Leve,Húmeda
90,Noche,1,Día laboral,Calzada,30.0,Oscuridad_Luces_Encendidas,Lluvioso,2,Urbano,Si,No_hay_cruce,1,Serio,Húmeda
91,Noche,1,Día laboral,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
92,Tarde,2,Día laboral,1SoloSentido,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Serio,Seca
93,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,No_hay_cruce,1,Serio,Seca
94,Noche,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Serio,Seca
95,Noche,2,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Leve,Seca
96,Tarde,1,Día laboral,Calzada,60.0,Diurna,"Bien, con vientos suaves",2,Rural,Si,No_hay_cruce,1,Serio,Húmeda
97,Noche,1,Día laboral,Calzada,30.0,Oscuridad_Luces_Encendidas,Lluvioso,2,Urbano,No,No_hay_cruce,1,Leve,Húmeda
98,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
99,Noche,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Serio,Seca
100,Tarde,1,Día laboral,Calzada,30.0,Diurna,Desconocido,1,Urbano,No,Entrada_Privada,1,Leve,Seca
101,Noche,1,Día laboral,Calzada,20.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
102,Noche,1,Día laboral,Calzada,20.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
103,Noche,1,Día laboral,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Urbano,No,No_hay_cruce,1,Serio,Seca
104,Tarde,1,Día laboral,Autovia,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
105,Mañana,1,Día laboral,Calzada,30.0,Diurna,Lluvioso,2,Urbano,No,No_hay_cruce,1,Leve,Húmeda
106,Noche,1,Día laboral,1SoloSentido,30.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Leve,Seca
107,Noche,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Serio,Seca
108,Tarde,1,Fin de semana,1SoloSentido,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,T,1,Leve,Seca
109,Tarde,1,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Rural,No,No_hay_cruce,1,Leve,Seca
110,Tarde,1,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",2,Urbano,No,T,1,Serio,Húmeda
111,Tarde,1,Día laboral,1SoloSentido,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,No_hay_cruce,1,Serio,Seca
112,Noche,2,Día laboral,Rotonda,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,Rotonda,1,Serio,Seca
113,Noche,1,Fin de semana,Calzada,30.0,Oscuridad_Luces_Encendidas,Lluvioso,2,Urbano,Si,T,1,Leve,Húmeda
114,Noche,1,Día laboral,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Rural,Si,T,1,Leve,Seca
115,Noche,1,Día laboral,Calzada,60.0,Oscuridad_Sin_Iluminacion,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Leve,Seca
116,Mañana,1,Fin de semana,Calzada,60.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Serio,Seca
117,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos fuertes",1,Urbano,No,No_hay_cruce,1,Serio,Seca
118,Mañana,1,Día laboral,Calzada,60.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Fatal,Seca
119,Noche,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Fatal,Seca
120,Mañana,1,Día laboral,Calzada,30.0,Diurna,Desconocido,-1,Urbano,No se reporto,T,1,Leve,Seca
121,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Serio,Seca
122,Tarde,1,Día laboral,Calzada,60.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Leve,Seca
123,Mañana,1,Día laboral,Calzada,40.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Leve,Seca
124,Tarde,1,Día laboral,Rotonda,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,Rotonda,1,Serio,Seca
125,Tarde,1,Fin de semana,Desconocida,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,No_hay_cruce,1,Leve,Seca
126,Noche,1,Fin de semana,Calzada,30.0,Diurna,Desconocido,-1,Urbano,No se reporto,No_hay_cruce,1,Serio,Seca
127,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Leve,Seca
128,Tarde,1,Fin de semana,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Urbano,No,Encrucijada,1,Leve,Seca
129,Tarde,1,Día laboral,Calzada,30.0,Oscuridad_Luces_Encendidas,Lluvioso,2,Urbano,No,No_hay_cruce,1,Leve,Húmeda
130,Tarde,1,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,Encrucijada,1,Leve,Seca
131,Tarde,1,Fin de semana,Calzada,40.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Serio,Seca
132,Mañana,1,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,Otros,1,Leve,Seca
133,Tarde,1,Día laboral,Calzada,30.0,Diurna,Lluvioso,2,Urbano,Si,Encrucijada,1,Leve,Húmeda
134,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Serio,Seca
135,Noche,1,Día laboral,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
136,Tarde,1,Fin de semana,1SoloSentido,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
137,Tarde,1,Fin de semana,Calzada,30.0,Diurna,Desconocido,1,Urbano,Si,No_hay_cruce,1,Serio,Seca
138,Tarde,2,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Leve,Seca
139,Noche,1,Día laboral,Autovia,30.0,Oscuridad_Luces_Encendidas,Desconocido,2,Urbano,No,T,1,Serio,Húmeda
140,Tarde,1,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,T,1,Leve,Seca
141,Mañana,1,Día laboral,Calzada,60.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Serio,Seca
142,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,T,1,Leve,Seca
143,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,T,1,Serio,Seca
144,Tarde,1,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
145,Noche,1,Fin de semana,Rotonda,60.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Rural,Si,Rotonda,1,Leve,Seca
146,Noche,1,Fin de semana,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
147,Tarde,1,Día laboral,Rotonda,30.0,Diurna,"Bien, con vientos suaves",1,Rural,No,Rotonda,1,Serio,Seca
148,Tarde,1,Día laboral,1SoloSentido,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Leve,Seca
149,Tarde,1,Fin de semana,Calzada,30.0,Diurna,Desconocido,1,Urbano,Si,No_hay_cruce,1,Leve,Seca
150,Tarde,1,Día laboral,Calzada,30.0,Diurna,Lluvioso,2,Urbano,Si,T,1,Leve,Húmeda
151,Tarde,1,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Rural,No,No_hay_cruce,1,Leve,Seca
152,Tarde,1,Día laboral,Calzada,60.0,Diurna,Desconocido,2,Rural,Si,No_hay_cruce,1,Leve,Húmeda
153,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",2,Urbano,Si,No_hay_cruce,1,Leve,Húmeda
154,Tarde,1,Día laboral,Calzada,40.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Leve,Seca
155,Noche,1,Día laboral,Calzada,60.0,Oscuridad_Sin_Iluminacion,"Bien, con vientos suaves",1,Rural,Si,Entrada_Privada,1,Serio,Seca
156,Tarde,2,Día laboral,Calzada,40.0,Oscuridad_Sin_Iluminacion,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Leve,Seca
157,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,Encrucijada,1,Leve,Seca
158,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
159,Noche,1,Día laboral,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
160,Tarde,1,Día laboral,1SoloSentido,20.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
161,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Serio,Seca
162,Noche,1,Día laboral,Rotonda,60.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,Rotonda,1,Leve,Seca
163,Noche,1,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Serio,Seca
164,Mañana,1,Fin de semana,Calzada,30.0,Diurna,Otro,2,Urbano,Si,T,1,Serio,Húmeda
165,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Leve,Seca
166,Tarde,1,Día laboral,Calzada,60.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Serio,Seca
167,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,No_hay_cruce,1,Leve,Seca
168,Noche,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,No,T,1,Leve,Seca
169,Tarde,1,Día laboral,Autovia,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,Otros,1,Serio,Seca
170,Noche,1,Día laboral,1SoloSentido,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Urbano,Si,T,1,Leve,Seca
171,Mañana,1,Día laboral,Calzada,30.0,Diurna,Lluvioso,2,Urbano,Si,No_hay_cruce,1,Serio,Húmeda
172,Noche,1,Día laboral,Calzada,30.0,Diurna,"Lluvioso, con vientos fuertes",2,Urbano,No,Entrada_Privada,1,Leve,Húmeda
173,Tarde,1,Día laboral,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",2,Rural,Si,No_hay_cruce,1,Serio,Húmeda
174,Mañana,1,Fin de semana,Calzada,40.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Leve,Seca
175,Tarde,2,Fin de semana,Calzada,20.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
176,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
177,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Serio,Seca
178,Noche,1,Día laboral,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Urbano,No,No_hay_cruce,1,Leve,Seca
179,Tarde,1,Fin de semana,Calzada,60.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Serio,Seca
180,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
181,Mañana,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,T,1,Leve,Seca
182,Mañana,1,Fin de semana,Calzada,30.0,Diurna,Lluvioso,5,Urbano,Si,No_hay_cruce,1,Leve,Inundadas
183,Tarde,1,Fin de semana,Calzada,30.0,Diurna,Desconocido,1,Urbano,Si,No_hay_cruce,1,Leve,Seca
184,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Leve,Seca
185,Noche,1,Fin de semana,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Urbano,Si,Otros,1,Leve,Seca
186,Mañana,1,Fin de semana,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Leve,Seca
187,Tarde,1,Día laboral,Desconocida,30.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,T,1,Leve,Seca
188,Tarde,1,Día laboral,Desconocida,30.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Serio,Seca
189,Madrugada,1,Fin de semana,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",1,Urbano,Si,T,1,Leve,Seca
190,Mañana,1,Día laboral,Calzada,60.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,No_hay_cruce,1,Serio,Seca
191,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Urbano,Si,No_hay_cruce,1,Leve,Seca
192,Tarde,1,Fin de semana,Calzada,40.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,T,1,Leve,Seca
193,Noche,1,Día laboral,Calzada,30.0,Oscuridad_Luces_Encendidas,"Bien, con vientos suaves",2,Urbano,Si,T,1,Leve,Húmeda
194,Tarde,1,Día laboral,Calzada,30.0,Diurna,"Bien, con vientos suaves",1,Rural,Si,Otros,1,Serio,Seca
